epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5020.17,0.32623,0.23417,0.80646,0.98566,0.91619,0.95469,0.90353,0.45294,0.3462,0.88414,0.00080012,0.00080012,0.00080012
62,5101.98,0.32492,0.23084,0.8054,0.98436,0.91992,0.95547,0.90523,0.44464,0.33731,0.88099,0.000780122,0.000780122,0.000780122
63,5183.87,0.32323,0.22854,0.80524,0.98674,0.92137,0.95584,0.90702,0.44117,0.33372,0.87939,0.000760124,0.000760124,0.000760124
64,5265.66,0.32561,0.22905,0.80529,0.98562,0.92161,0.95567,0.90649,0.43629,0.33427,0.87624,0.000740126,0.000740126,0.000740126
65,5347.37,0.32333,0.22969,0.80466,0.98767,0.91827,0.95506,0.90495,0.43387,0.32166,0.8732,0.000720128,0.000720128,0.000720128
66,5429.42,0.32175,0.22628,0.8036,0.98436,0.92303,0.95655,0.90722,0.43243,0.31808,0.8759,0.00070013,0.00070013,0.00070013
67,5512.18,0.3192,0.22382,0.80319,0.98639,0.9242,0.95654,0.90842,0.42563,0.31256,0.87837,0.000680132,0.000680132,0.000680132
68,5594.54,0.31844,0.22269,0.80471,0.98669,0.92311,0.95702,0.90933,inf,0.30295,0.87191,0.000660134,0.000660134,0.000660134
69,5676.77,0.31687,0.22028,0.8024,0.98624,0.92744,0.95754,0.91082,0.40826,0.3005,0.8686,0.000640136,0.000640136,0.000640136
70,5759.17,0.31738,0.22107,0.80215,0.98739,0.92657,0.95741,0.91085,0.40846,0.29791,0.86696,0.000620138,0.000620138,0.000620138
71,5841.43,0.3162,0.21923,0.80305,0.98727,0.92387,0.9575,0.91049,0.40283,0.29402,0.86247,0.00060014,0.00060014,0.00060014
72,5923.51,0.31434,0.21563,0.80076,0.98804,0.92637,0.95894,0.91238,inf,0.28619,0.85783,0.000580142,0.000580142,0.000580142
73,6005.64,0.31626,0.21763,0.80136,0.98792,0.92517,0.95874,0.91266,0.39248,0.28356,0.86019,0.000560144,0.000560144,0.000560144
74,6087.91,0.31424,0.21399,0.80144,0.98887,0.92712,0.95877,0.91287,0.39195,0.28193,0.85781,0.000540146,0.000540146,0.000540146
75,6170.97,0.31162,0.21315,0.80107,0.98817,0.92809,0.95988,0.91508,inf,0.27492,0.85654,0.000520148,0.000520148,0.000520148
76,6253.01,0.30976,0.21198,0.80007,0.98572,0.93094,0.96033,0.91617,0.37691,0.27403,0.85714,0.00050015,0.00050015,0.00050015
77,6335.16,0.30805,0.20992,0.79976,0.98827,0.92884,0.95978,0.91382,0.37548,0.26946,0.85581,0.000480152,0.000480152,0.000480152
78,6416.91,0.30792,0.21301,0.8015,0.98836,0.92747,0.96024,0.9165,0.36802,0.26451,0.85422,0.000460154,0.000460154,0.000460154
79,6498.99,0.30384,0.20727,0.79855,0.9897,0.92851,0.95962,0.91484,0.36749,0.26345,0.85215,0.000440156,0.000440156,0.000440156
80,6580.65,0.30576,0.20735,0.79847,0.98916,0.9289,0.95966,0.91625,0.36621,0.26248,0.85221,0.000420158,0.000420158,0.000420158
81,6662.24,0.30464,0.20701,0.7978,0.98847,0.93085,0.96029,0.91596,0.36387,0.25899,0.84842,0.00040016,0.00040016,0.00040016
82,6743.74,0.2992,0.20194,0.79574,0.98975,0.92943,0.96044,0.91721,inf,0.25498,0.84734,0.000380162,0.000380162,0.000380162
83,6825.41,0.29854,0.20171,0.79605,0.98951,0.92946,0.96062,0.91765,0.35516,0.25494,0.84909,0.000360164,0.000360164,0.000360164
84,6907.34,0.30298,0.20417,0.79758,0.98919,0.93192,0.96143,0.91794,0.35294,0.2523,0.85059,0.000340166,0.000340166,0.000340166
85,6989.37,0.29804,0.20135,0.79647,0.99014,0.93042,0.96087,0.91759,0.34982,0.25081,0.84781,0.000320168,0.000320168,0.000320168
86,7071.06,0.29328,0.19654,0.79459,0.9901,0.93021,0.96137,0.9193,0.34244,0.24694,0.84602,0.00030017,0.00030017,0.00030017
87,7153.07,0.29658,0.19853,0.7961,0.99021,0.93122,0.96118,0.92103,0.33676,0.24298,0.84487,0.000280172,0.000280172,0.000280172
88,7235.31,0.295,0.19803,0.79624,0.99147,0.93036,0.96121,0.9202,inf,0.24305,0.84593,0.000260174,0.000260174,0.000260174
89,7317.25,0.29334,0.19733,0.79697,0.99112,0.9303,0.96207,0.92108,0.33599,0.24269,0.84371,0.000240176,0.000240176,0.000240176
90,7398.99,0.29173,0.19504,0.79461,0.99038,0.93119,0.96218,0.92223,0.33157,0.23898,0.84182,0.000220178,0.000220178,0.000220178
91,7484.73,0.28976,0.19456,0.79375,0.99077,0.93117,0.96172,0.92176,0.33098,0.23863,0.84379,0.00020018,0.00020018,0.00020018
92,7566.26,0.28931,0.19381,0.79454,0.99076,0.93055,0.96163,0.92191,0.33147,0.23833,0.84524,0.000180182,0.000180182,0.000180182
93,7647.58,0.28661,0.19027,0.79332,0.99018,0.93201,0.96231,0.92243,0.32658,0.23517,0.84148,0.000160184,0.000160184,0.000160184
94,7729.06,0.28671,0.19084,0.79341,0.9906,0.93237,0.96233,0.92213,0.32471,0.23414,0.84183,0.000140186,0.000140186,0.000140186
95,7810.53,0.28535,0.18994,0.79422,0.99017,0.93192,0.96267,0.92237,inf,0.23314,0.84194,0.000120188,0.000120188,0.000120188
96,7891.87,0.28127,0.18556,0.79219,0.99059,0.9319,0.96277,0.92246,inf,0.23322,0.84151,0.00010019,0.00010019,0.00010019
97,7973.45,0.28249,0.18827,0.79336,0.99009,0.9326,0.96281,0.92242,0.31983,0.23179,0.84008,8.0192e-05,8.0192e-05,8.0192e-05
98,8054.83,0.28235,0.18665,0.79204,0.99083,0.93195,0.96317,0.9231,inf,0.23105,0.84003,6.0194e-05,6.0194e-05,6.0194e-05
99,8136.32,0.27951,0.18445,0.79218,0.99121,0.93213,0.96317,0.92328,inf,0.23002,0.84002,4.0196e-05,4.0196e-05,4.0196e-05
100,8218.03,0.28238,0.18566,0.79208,0.99098,0.93269,0.96321,0.92316,inf,0.22858,0.84015,2.0198e-05,2.0198e-05,2.0198e-05
