epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,150.818,2.51201,1.99738,1.3492,0.30815,0.16575,0.13038,0.03869,2.65559,2.4162,1.61658,0.000880112,0.000880112,0.000880112
58,152.551,2.44127,1.87824,1.31828,0.29681,0.15392,0.13513,0.04655,2.58826,2.34356,1.59691,0.000860114,0.000860114,0.000860114
59,154.271,2.462,1.932,1.31854,0.34142,0.17127,0.14498,0.05006,2.59717,2.32453,1.61306,0.000840116,0.000840116,0.000840116
60,156.036,2.43649,1.86874,1.31754,0.33212,0.16575,0.14593,0.05025,2.64104,2.34498,1.65637,0.000820118,0.000820118,0.000820118
61,157.781,2.45805,1.93275,1.34856,0.29014,0.1547,0.12767,0.04793,2.61973,2.34273,1.64204,0.00080012,0.00080012,0.00080012
62,160.007,2.39088,1.84454,1.30399,0.29011,0.16575,0.12096,0.04501,2.61926,2.32464,1.6414,0.000780122,0.000780122,0.000780122
63,161.764,2.39719,1.83776,1.30732,0.34317,0.17032,0.12958,0.04427,2.63862,2.32204,1.66291,0.000760124,0.000760124,0.000760124
64,163.508,2.41613,1.81162,1.27749,0.30621,0.16022,0.13569,0.03972,2.71792,2.29036,1.72049,0.000740126,0.000740126,0.000740126
65,165.279,2.41936,1.85324,1.33499,0.27139,0.18232,0.12649,0.03944,2.70202,2.30475,1.71354,0.000720128,0.000720128,0.000720128
66,167.002,2.41872,1.8302,1.28474,0.26636,0.17127,0.12665,0.03863,2.66432,2.3316,1.69558,0.00070013,0.00070013,0.00070013
67,168.737,2.36897,1.82587,1.29389,0.38256,0.1547,0.14318,0.04128,2.67698,2.39315,1.7159,0.000680132,0.000680132,0.000680132
68,170.511,2.41099,1.82621,1.31494,0.36971,0.1768,0.14913,0.04542,2.60148,2.27467,1.6586,0.000660134,0.000660134,0.000660134
69,172.263,2.36016,1.80996,1.32662,0.3433,0.19337,0.14156,0.04513,2.60867,2.3105,1.64136,0.000640136,0.000640136,0.000640136
70,174.193,2.41456,1.80776,1.30788,0.30001,0.18785,0.13482,0.04057,2.65439,2.35887,1.63926,0.000620138,0.000620138,0.000620138
71,176.047,2.399,1.8894,1.36169,0.27898,0.1768,0.11996,0.03808,2.7036,2.40136,1.66455,0.00060014,0.00060014,0.00060014
72,177.847,2.36572,1.85002,1.30713,0.26626,0.1547,0.11223,0.03664,2.65589,2.45055,1.62933,0.000580142,0.000580142,0.000580142
73,179.649,2.40761,1.77598,1.32426,0.25009,0.15847,0.1186,0.04111,2.61629,2.40835,1.60123,0.000560144,0.000560144,0.000560144
74,181.46,2.33605,1.73614,1.29965,0.27487,0.13812,0.11974,0.04446,2.62515,2.39981,1.60753,0.000540146,0.000540146,0.000540146
75,183.257,2.32342,1.80179,1.27971,0.31853,0.13946,0.12347,0.0465,2.64711,2.38145,1.63846,0.000520148,0.000520148,0.000520148
76,184.995,2.35238,1.77208,1.31251,0.27263,0.14365,0.11368,0.04037,2.63678,2.36388,1.66448,0.00050015,0.00050015,0.00050015
77,186.858,2.30649,1.68798,1.33831,0.24134,0.16022,0.10549,0.03792,2.65016,2.40468,1.69281,0.000480152,0.000480152,0.000480152
78,188.566,2.30607,1.7277,1.30654,0.26799,0.1547,0.10511,0.0374,2.66116,2.38517,1.7124,0.000460154,0.000460154,0.000460154
79,190.32,2.34966,1.76252,1.31839,0.28576,0.1547,0.10902,0.0376,2.6815,2.38171,1.72991,0.000440156,0.000440156,0.000440156
80,192.054,2.33693,1.69461,1.27985,0.25012,0.15665,0.10833,0.03798,2.69561,2.36277,1.7198,0.000420158,0.000420158,0.000420158
81,193.775,2.31404,1.63936,1.26532,0.2466,0.14468,0.10198,0.0331,2.68204,2.36581,1.70547,0.00040016,0.00040016,0.00040016
82,195.56,2.35921,1.70524,1.28744,0.24454,0.14365,0.10306,0.03628,2.65439,2.37715,1.68501,0.000380162,0.000380162,0.000380162
83,197.306,2.38174,1.73735,1.293,0.28358,0.14365,0.10624,0.03749,2.64678,2.40613,1.67677,0.000360164,0.000360164,0.000360164
84,199.142,2.36621,1.70333,1.30662,0.2923,0.1547,0.11001,0.04028,2.58165,2.38848,1.65077,0.000340166,0.000340166,0.000340166
85,201.081,2.32017,1.66244,1.27418,0.28683,0.1547,0.10361,0.03888,2.60815,2.36506,1.67386,0.000320168,0.000320168,0.000320168
86,202.835,2.31554,1.67467,1.27399,0.23213,0.16022,0.10402,0.03943,2.64426,2.37237,1.68685,0.00030017,0.00030017,0.00030017
87,204.546,2.27569,1.68173,1.30211,0.21102,0.16575,0.10435,0.03712,2.66804,2.3798,1.69505,0.000280172,0.000280172,0.000280172
